unique_id,ds,cutoff,y,LightGBM,fit_time_seconds
64,2023-01-27 21:00:00,2023-01-27 15:00:00,4.667591e-10,2.5511457595761208e-09,370.8677318096161
64,2023-01-28 00:00:00,2023-01-27 15:00:00,6.529907e-09,8.638778146289324e-09,370.8677318096161
64,2023-01-28 03:00:00,2023-01-27 15:00:00,9.82369e-09,1.1027133767247282e-08,370.8677318096161
64,2023-01-28 06:00:00,2023-01-27 15:00:00,1.34758e-08,1.205110684419718e-08,370.8677318096161
64,2023-01-28 09:00:00,2023-01-27 15:00:00,1.3896404e-08,1.2745204958698659e-08,370.8677318096161
64,2023-01-28 12:00:00,2023-01-27 15:00:00,1.3768414e-08,7.842058086412057e-09,370.8677318096161
64,2023-01-28 15:00:00,2023-01-27 15:00:00,6.852879e-09,5.384896194807592e-09,370.8677318096161
65,2023-01-27 18:00:00,2023-01-27 15:00:00,7.7431395e-10,5.414949655374814e-10,370.8677318096161
65,2023-01-27 21:00:00,2023-01-27 15:00:00,2.5107756e-09,2.320121394854611e-09,370.8677318096161
65,2023-01-28 00:00:00,2023-01-27 15:00:00,7.187223e-09,8.011462398164245e-09,370.8677318096161
65,2023-01-28 03:00:00,2023-01-27 15:00:00,1.1229993e-08,1.02414129859866e-08,370.8677318096161
65,2023-01-28 06:00:00,2023-01-27 15:00:00,1.3880184e-08,1.1233874997405465e-08,370.8677318096161
65,2023-01-28 09:00:00,2023-01-27 15:00:00,1.3920271e-08,1.2210571714748344e-08,370.8677318096161
65,2023-01-28 12:00:00,2023-01-27 15:00:00,1.5072565e-08,7.664837528491072e-09,370.8677318096161
65,2023-01-28 15:00:00,2023-01-27 15:00:00,8.788437e-09,5.9848574933996e-09,370.8677318096161
66,2023-01-27 18:00:00,2023-01-27 15:00:00,0.0,-9.39487999825733e-11,370.8677318096161
66,2023-01-27 21:00:00,2023-01-27 15:00:00,2.934044e-10,2.6702708669736826e-10,370.8677318096161
66,2023-01-28 00:00:00,2023-01-27 15:00:00,8.48639e-09,7.690438555892944e-09,370.8677318096161
66,2023-01-28 03:00:00,2023-01-27 15:00:00,1.0826657e-08,9.70036109970474e-09,370.8677318096161
66,2023-01-28 06:00:00,2023-01-27 15:00:00,1.2269615e-08,1.032626090580857e-08,370.8677318096161
66,2023-01-28 09:00:00,2023-01-27 15:00:00,1.303831e-08,1.0695515749012297e-08,370.8677318096161
66,2023-01-28 12:00:00,2023-01-27 15:00:00,2.16031e-08,9.293588226863938e-09,370.8677318096161
66,2023-01-28 15:00:00,2023-01-27 15:00:00,1.46737165e-08,6.533861563050406e-09,370.8677318096161
67,2023-01-27 18:00:00,2023-01-27 15:00:00,6.1238126e-11,-8.03408085119723e-11,370.8677318096161
