pollutant,horizon,unique_id,model,MAE,ranking,unique_id.1,latitude,longitude,code_state,abbrev_state,name_state,code_region,name_region
go3,14days,60,Naive,1.4048849153291469e-08,15.0,60,-25.75,-52.75,41.0,PR,Paraná,4.0,Sul
go3,14days,61,NBEATS-G,8.700593632340364e-09,1.0,61,-25.75,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,61,NBEATS-I,8.74290189926339e-09,2.0,61,-25.75,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,61,NHITS,8.760082118960793e-09,3.0,61,-25.75,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,61,LightGBM,8.842255905108455e-09,4.0,61,-25.75,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,61,GRU,9.43988788495943e-09,5.0,61,-25.75,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,61,LSTM,9.62645355485303e-09,6.0,61,-25.75,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,61,RandomForest,1.0202336753187954e-08,7.0,61,-25.75,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,61,Theta,1.0863561191437845e-08,8.0,61,-25.75,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,61,Informer,1.1133806855627327e-08,9.0,61,-25.75,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,61,Arima,1.1175324552739798e-08,10.0,61,-25.75,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,61,SeasonalNaive-8,1.1175324552739798e-08,10.0,61,-25.75,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,61,ETS,1.1689652327337182e-08,12.0,61,-25.75,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,61,SeasonalNaive-56,1.1854899044964782e-08,13.0,61,-25.75,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,61,XGBoost,1.1961194607268575e-08,14.0,61,-25.75,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,61,Naive,1.3868164598803758e-08,15.0,61,-25.75,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,62,NBEATS-G,8.865801757002534e-09,1.0,62,-25.75,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,62,NBEATS-I,8.887450739299058e-09,2.0,62,-25.75,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,62,NHITS,8.952120570246381e-09,3.0,62,-25.75,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,62,LightGBM,9.0458578603334e-09,4.0,62,-25.75,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,62,GRU,9.624579014370392e-09,5.0,62,-25.75,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,62,LSTM,9.872689567276926e-09,6.0,62,-25.75,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,62,RandomForest,1.0522973020946095e-08,7.0,62,-25.75,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,62,Arima,1.144426015082224e-08,8.0,62,-25.75,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,62,SeasonalNaive-8,1.144426015082224e-08,8.0,62,-25.75,-51.25,41.0,PR,Paraná,4.0,Sul
