pollutant,horizon,unique_id,model,sMAPE,ranking,unique_id.1,latitude,longitude,code_state,abbrev_state,name_state,code_region,name_region
go3,14days,61,NHITS,0.33060229867022667,2.0,61,-25.75,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,61,NBEATS-I,0.33081709763920536,3.0,61,-25.75,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,61,LightGBM,0.3383760973450084,4.0,61,-25.75,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,61,GRU,0.3518270002506761,5.0,61,-25.75,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,61,LSTM,0.355422654140976,6.0,61,-25.75,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,61,RandomForest,0.37441302708032836,7.0,61,-25.75,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,61,Theta,0.3925633195276077,8.0,61,-25.75,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,61,Informer,0.4006369031855452,9.0,61,-25.75,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,61,XGBoost,0.41341081563270804,10.0,61,-25.75,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,61,Arima,0.43259964220500174,11.0,61,-25.75,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,61,SeasonalNaive-8,0.43259964220500174,11.0,61,-25.75,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,61,SeasonalNaive-56,0.45243219259611955,13.0,61,-25.75,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,61,ETS,0.4581701179836462,14.0,61,-25.75,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,61,Naive,0.48168500287328203,15.0,61,-25.75,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,62,NBEATS-G,0.34381949408147783,1.0,62,-25.75,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,62,NBEATS-I,0.3438270325784623,2.0,62,-25.75,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,62,NHITS,0.345470240137478,3.0,62,-25.75,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,62,LightGBM,0.35511945334173917,4.0,62,-25.75,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,62,GRU,0.3685927035291888,5.0,62,-25.75,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,62,LSTM,0.37242521490241143,6.0,62,-25.75,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,62,RandomForest,0.39185812443100365,7.0,62,-25.75,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,62,Informer,0.4210428127247818,8.0,62,-25.75,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,62,Theta,0.4228980685414191,9.0,62,-25.75,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,62,XGBoost,0.4325880418319597,10.0,62,-25.75,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,62,Arima,0.4440114026019293,11.0,62,-25.75,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,62,SeasonalNaive-8,0.4440114026019293,11.0,62,-25.75,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,62,SeasonalNaive-56,0.46778784006753654,13.0,62,-25.75,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,62,ETS,0.49834555479648857,14.0,62,-25.75,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,62,Naive,0.5228508864551065,15.0,62,-25.75,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,63,NHITS,0.32287817475889524,1.0,63,-25.75,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,63,NBEATS-I,0.32294845715441056,2.0,63,-25.75,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,63,NBEATS-G,0.3240170529252623,3.0,63,-25.75,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,63,LSTM,0.34283805413592716,4.0,63,-25.75,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,63,GRU,0.3450683975057885,5.0,63,-25.75,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,63,LightGBM,0.34748674007902536,6.0,63,-25.75,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,63,RandomForest,0.35928792933842335,7.0,63,-25.75,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,63,Informer,0.3946673026202434,8.0,63,-25.75,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,63,XGBoost,0.4030502945753668,9.0,63,-25.75,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,63,Theta,0.42443156229333734,10.0,63,-25.75,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,63,Arima,0.4447143693480464,11.0,63,-25.75,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,63,SeasonalNaive-8,0.4447143693480464,11.0,63,-25.75,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,63,SeasonalNaive-56,0.4518559889298544,13.0,63,-25.75,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,63,ETS,0.48040210018788426,14.0,63,-25.75,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,63,Naive,0.5154972579499237,15.0,63,-25.75,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,64,NBEATS-I,0.34119159174517727,1.0,64,-25.75,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,64,NBEATS-G,0.3431342802670816,2.0,64,-25.75,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,64,NHITS,0.3459533488373092,3.0,64,-25.75,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,64,LightGBM,0.36250606613764697,4.0,64,-25.75,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,64,GRU,0.36688154209605134,5.0,64,-25.75,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,64,LSTM,0.3668829187700579,6.0,64,-25.75,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,64,RandomForest,0.38761271606089454,7.0,64,-25.75,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,64,Informer,0.4408562979793543,8.0,64,-25.75,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,64,XGBoost,0.46033241072145886,9.0,64,-25.75,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,64,Theta,0.46620190150802454,10.0,64,-25.75,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,64,SeasonalNaive-56,0.48261203430275595,11.0,64,-25.75,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,64,Arima,0.4863024303928722,12.0,64,-25.75,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,64,SeasonalNaive-8,0.4863024303928722,12.0,64,-25.75,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,64,ETS,0.5089494856975959,14.0,64,-25.75,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,64,Naive,0.5981366474467937,15.0,64,-25.75,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,65,NBEATS-I,0.3275954833283376,1.0,65,-25.75,-49.0,41.0,PR,Paraná,4.0,Sul
go3,14days,65,NBEATS-G,0.329623993584647,2.0,65,-25.75,-49.0,41.0,PR,Paraná,4.0,Sul
go3,14days,65,NHITS,0.3328752695480543,3.0,65,-25.75,-49.0,41.0,PR,Paraná,4.0,Sul
go3,14days,65,LightGBM,0.3471179862317246,4.0,65,-25.75,-49.0,41.0,PR,Paraná,4.0,Sul
go3,14days,65,GRU,0.35157126565197644,5.0,65,-25.75,-49.0,41.0,PR,Paraná,4.0,Sul
go3,14days,65,LSTM,0.35455453134898235,6.0,65,-25.75,-49.0,41.0,PR,Paraná,4.0,Sul
go3,14days,65,RandomForest,0.3730820148146318,7.0,65,-25.75,-49.0,41.0,PR,Paraná,4.0,Sul
go3,14days,65,Theta,0.40501234021270066,8.0,65,-25.75,-49.0,41.0,PR,Paraná,4.0,Sul
go3,14days,65,Informer,0.42951624534562344,9.0,65,-25.75,-49.0,41.0,PR,Paraná,4.0,Sul
go3,14days,65,Arima,0.44634142174323704,10.0,65,-25.75,-49.0,41.0,PR,Paraná,4.0,Sul
go3,14days,65,SeasonalNaive-8,0.44634142174323704,10.0,65,-25.75,-49.0,41.0,PR,Paraná,4.0,Sul
go3,14days,65,XGBoost,0.45714099364741945,12.0,65,-25.75,-49.0,41.0,PR,Paraná,4.0,Sul
go3,14days,65,ETS,0.4688095449147586,13.0,65,-25.75,-49.0,41.0,PR,Paraná,4.0,Sul
