unique_id,ds,cutoff,GRU,Informer,LSTM,y,fit_time_seconds
54,2023-01-27 18:00:00,2023-01-27 15:00:00,4.3738286e-08,4.6042057e-08,4.526086e-08,4.8147875e-08,625.8171143531799
54,2023-01-27 21:00:00,2023-01-27 15:00:00,3.1434077e-08,3.424115e-08,2.9615844e-08,4.0391388e-08,625.8171143531799
54,2023-01-28 00:00:00,2023-01-27 15:00:00,1.10777565e-08,1.8566942e-08,9.301705e-09,2.8721667e-09,625.8171143531799
54,2023-01-28 03:00:00,2023-01-27 15:00:00,1.4080667e-08,1.642959e-08,1.5113105e-08,5.4756017e-09,625.8171143531799
54,2023-01-28 06:00:00,2023-01-27 15:00:00,2.2445082e-08,1.7404853e-08,2.4667496e-08,9.39322e-09,625.8171143531799
54,2023-01-28 09:00:00,2023-01-27 15:00:00,9.713451e-09,1.8326512e-08,1.3977517e-08,1.0052262e-08,625.8171143531799
54,2023-01-28 12:00:00,2023-01-27 15:00:00,3.407382e-08,4.1090907e-08,3.6746183e-08,3.7529166e-08,625.8171143531799
54,2023-01-28 15:00:00,2023-01-27 15:00:00,4.3866905e-08,4.745622e-08,4.6392927e-08,5.0249817e-08,625.8171143531799
54,2023-02-21 00:00:00,2023-02-20 21:00:00,2.842696e-08,1.3759338e-08,2.4899762e-08,8.352261e-09,625.8171143531799
54,2023-02-21 03:00:00,2023-02-20 21:00:00,2.9721555e-08,1.1978723e-08,2.752573e-08,3.7421697e-09,625.8171143531799
54,2023-02-21 06:00:00,2023-02-20 21:00:00,2.8811533e-08,1.2085539e-08,2.7434615e-08,2.5720128e-09,625.8171143531799
54,2023-02-21 09:00:00,2023-02-20 21:00:00,2.4283526e-08,1.7405325e-08,2.3313406e-08,1.65782e-09,625.8171143531799
54,2023-02-21 12:00:00,2023-02-20 21:00:00,2.019478e-08,2.5533424e-08,2.0971788e-08,2.7934181e-08,625.8171143531799
54,2023-02-21 15:00:00,2023-02-20 21:00:00,2.2195893e-08,2.4414737e-08,2.6316245e-08,3.7126313e-08,625.8171143531799
54,2023-02-21 18:00:00,2023-02-20 21:00:00,2.0192438e-08,2.3461856e-08,2.49755e-08,3.53657e-08,625.8171143531799
54,2023-02-21 21:00:00,2023-02-20 21:00:00,1.543692e-08,2.0631502e-08,1.7146453e-08,2.8475567e-08,625.8171143531799
54,2023-03-17 06:00:00,2023-03-17 03:00:00,2.548319e-08,2.93372e-08,2.7676158e-08,2.8801088e-08,625.8171143531799
54,2023-03-17 09:00:00,2023-03-17 03:00:00,2.3021803e-08,2.4977508e-08,2.4291198e-08,2.3429797e-08,625.8171143531799
54,2023-03-17 12:00:00,2023-03-17 03:00:00,3.0769517e-08,2.7070957e-08,3.118043e-08,3.14579e-08,625.8171143531799
54,2023-03-17 15:00:00,2023-03-17 03:00:00,4.1754827e-08,3.8392344e-08,4.2673797e-08,3.9541057e-08,625.8171143531799
54,2023-03-17 18:00:00,2023-03-17 03:00:00,4.2501775e-08,4.1131912e-08,4.317028e-08,4.0553243e-08,625.8171143531799
54,2023-03-17 21:00:00,2023-03-17 03:00:00,3.2042287e-08,3.192865e-08,3.2747945e-08,2.8757027e-08,625.8171143531799
54,2023-03-18 00:00:00,2023-03-17 03:00:00,1.872937e-08,2.3516035e-08,2.066391e-08,2.1796811e-08,625.8171143531799
54,2023-03-18 03:00:00,2023-03-17 03:00:00,2.1601851e-08,2.335084e-08,2.4788541e-08,2.0552983e-08,625.8171143531799
54,2023-04-10 12:00:00,2023-04-10 09:00:00,3.4223486e-08,3.8840906e-08,3.4459696e-08,3.105983e-08,625.8171143531799
54,2023-04-10 15:00:00,2023-04-10 09:00:00,4.2115527e-08,3.781535e-08,4.2483684e-08,4.0227917e-08,625.8171143531799
54,2023-04-10 18:00:00,2023-04-10 09:00:00,3.962125e-08,3.511493e-08,3.9878675e-08,4.0473974e-08,625.8171143531799
54,2023-04-10 21:00:00,2023-04-10 09:00:00,2.378696e-08,3.335918e-08,2.469219e-08,2.4920075e-08,625.8171143531799
