unique_id,ds,cutoff,GRU,Informer,LSTM,y,fit_time_seconds
54,2023-05-05 15:00:00,2023-05-04 15:00:00,3.4542285e-09,6.2657897e-09,3.8313983e-09,6.2892447e-09,636.2510538101196
54,2023-05-29 00:00:00,2023-05-28 21:00:00,9.273827e-09,5.6108385e-09,9.197965e-09,3.191604e-09,636.2510538101196
54,2023-05-29 03:00:00,2023-05-28 21:00:00,9.741842e-09,5.7005822e-09,9.976599e-09,2.5294575e-09,636.2510538101196
54,2023-05-29 06:00:00,2023-05-28 21:00:00,8.562957e-09,5.604841e-09,9.15632e-09,2.624556e-09,636.2510538101196
54,2023-05-29 09:00:00,2023-05-28 21:00:00,9.329413e-09,5.606541e-09,9.591631e-09,2.3857845e-09,636.2510538101196
54,2023-05-29 12:00:00,2023-05-28 21:00:00,8.481452e-09,5.164927e-09,8.654407e-09,3.587024e-09,636.2510538101196
54,2023-05-29 15:00:00,2023-05-28 21:00:00,6.203968e-09,5.2884945e-09,6.9947244e-09,3.6127679e-09,636.2510538101196
54,2023-05-29 18:00:00,2023-05-28 21:00:00,4.6379056e-09,5.029786e-09,5.3526956e-09,3.561875e-09,636.2510538101196
54,2023-05-29 21:00:00,2023-05-28 21:00:00,4.5190225e-09,5.3139204e-09,4.970391e-09,4.7381765e-09,636.2510538101196
54,2023-06-22 06:00:00,2023-06-22 03:00:00,5.142393e-09,7.747337e-09,4.660055e-09,7.224248e-09,636.2510538101196
54,2023-06-22 09:00:00,2023-06-22 03:00:00,5.271246e-09,7.5325755e-09,4.963685e-09,6.2798935e-09,636.2510538101196
54,2023-06-22 12:00:00,2023-06-22 03:00:00,7.158389e-09,7.711566e-09,5.950816e-09,6.130435e-09,636.2510538101196
54,2023-06-22 15:00:00,2023-06-22 03:00:00,6.1825465e-09,7.744385e-09,5.606909e-09,8.16382e-09,636.2510538101196
54,2023-06-22 18:00:00,2023-06-22 03:00:00,4.845832e-09,6.149354e-09,4.5051474e-09,1.0056677e-08,636.2510538101196
54,2023-06-22 21:00:00,2023-06-22 03:00:00,4.992531e-09,6.1101857e-09,4.5130593e-09,1.1209487e-08,636.2510538101196
54,2023-06-23 00:00:00,2023-06-22 03:00:00,5.2355746e-09,6.128114e-09,4.8853077e-09,8.582414e-09,636.2510538101196
54,2023-06-23 03:00:00,2023-06-22 03:00:00,5.4383915e-09,7.113926e-09,5.3122275e-09,7.578102e-09,636.2510538101196
54,2023-07-16 12:00:00,2023-07-16 09:00:00,1.4893832e-09,4.5449804e-09,7.8991985e-10,2.6514613e-10,636.2510538101196
54,2023-07-16 15:00:00,2023-07-16 09:00:00,1.5583639e-09,4.538589e-09,1.1323114e-09,4.8704152e-11,636.2510538101196
54,2023-07-16 18:00:00,2023-07-16 09:00:00,1.2645426e-09,4.5363215e-09,1.2011433e-09,8.431478e-11,636.2510538101196
54,2023-07-16 21:00:00,2023-07-16 09:00:00,1.7428918e-09,4.53982e-09,1.3953119e-09,1.9345094e-09,636.2510538101196
54,2023-07-17 00:00:00,2023-07-16 09:00:00,5.431285e-09,5.3041207e-09,5.5500324e-09,6.058019e-09,636.2510538101196
54,2023-07-17 03:00:00,2023-07-16 09:00:00,5.306451e-09,5.3057274e-09,5.580508e-09,7.672135e-09,636.2510538101196
54,2023-07-17 06:00:00,2023-07-16 09:00:00,5.206125e-09,5.434507e-09,5.3527813e-09,8.441502e-09,636.2510538101196
54,2023-07-17 09:00:00,2023-07-16 09:00:00,5.7968212e-09,5.49679e-09,5.405346e-09,8.93665e-09,636.2510538101196
54,2023-08-09 18:00:00,2023-08-09 15:00:00,4.3829598e-09,4.829889e-09,5.15592e-09,4.0382986e-09,636.2510538101196
54,2023-08-09 21:00:00,2023-08-09 15:00:00,6.0824368e-09,4.74039e-09,7.137824e-09,5.6360925e-09,636.2510538101196
54,2023-08-10 00:00:00,2023-08-09 15:00:00,6.023384e-09,4.6352637e-09,7.479292e-09,5.3162457e-09,636.2510538101196
54,2023-08-10 03:00:00,2023-08-09 15:00:00,6.095845e-09,4.832387e-09,7.652009e-09,5.093918e-09,636.2510538101196
54,2023-08-10 06:00:00,2023-08-09 15:00:00,6.1034298e-09,5.8567386e-09,6.999099e-09,5.5887943e-09,636.2510538101196
