epoch,ptl/val_loss,step,train_loss_epoch,train_loss_step,valid_loss
0,,1,1.4750940799713135,,
1,,3,1.4634604454040527,,
2,,5,1.4524149894714355,,
3,,7,1.450177788734436,,
4,,9,1.4491040706634521,,
5,,11,1.4476215839385986,,
6,,13,1.4365031719207764,,
7,,15,1.460845708847046,,
8,,17,1.4351508617401123,,
9,,19,1.3827223777770996,,
10,,21,1.3747317790985107,,
11,,23,1.2432416677474976,,
12,,25,1.2415518760681152,,
13,,27,1.2326023578643799,,
14,,29,1.2363510131835938,,
15,,31,1.2352317571640015,,
16,,33,1.1967074871063232,,
17,,35,1.260061502456665,,
18,,37,1.232180118560791,,
19,,39,1.2653549909591675,,
20,,41,1.2241896390914917,,
21,,43,1.2251207828521729,,
22,,45,1.2042112350463867,,
23,,47,1.2755250930786133,,
24,,49,,1.2223647832870483,
24,,49,1.2248512506484985,,
25,,51,1.2172330617904663,,
26,,53,1.2220649719238281,,
27,,55,1.2911512851715088,,
28,,57,1.1784167289733887,,
29,,59,1.2861422300338745,,
30,,61,1.2400811910629272,,
31,,63,1.2479829788208008,,
32,,65,1.2492117881774902,,
33,,67,1.257049798965454,,
34,,69,1.2715599536895752,,
35,,71,1.173431634902954,,
36,,73,1.2468605041503906,,
37,,75,1.1633275747299194,,
38,,77,1.1769258975982666,,
39,,79,1.1730709075927734,,
40,,81,1.201790690422058,,
41,,83,1.1811537742614746,,
42,,85,1.1815967559814453,,
43,,87,1.1850345134735107,,
44,,89,1.2316460609436035,,
45,,91,1.1935361623764038,,
46,,93,1.235321283340454,,
47,,95,1.1312158107757568,,
48,,97,1.2299110889434814,,
49,,99,,1.0885497331619263,
49,1.3572156429290771,99,,,1.4657254219055176
49,,99,1.150614857673645,,
50,,101,1.1902837753295898,,
51,,103,1.2018451690673828,,
52,,105,1.1586098670959473,,
53,,107,1.1607089042663574,,
54,,109,1.2534894943237305,,
55,,111,1.1973817348480225,,
56,,113,1.1717743873596191,,
57,,115,1.1626977920532227,,
58,,117,1.2315499782562256,,
59,,119,1.173775553703308,,
60,,121,1.1608572006225586,,
61,,123,1.197695255279541,,
62,,125,1.145721197128296,,
63,,127,1.219390630722046,,
64,,129,1.142574429512024,,
65,,131,1.1798462867736816,,
66,,133,1.181990146636963,,
67,,135,1.1951614618301392,,
68,,137,1.1983332633972168,,
69,,139,1.2424575090408325,,
70,,141,1.2311034202575684,,
71,,143,1.2095437049865723,,
72,,145,1.194930076599121,,
73,,147,1.1363813877105713,,
74,,149,,1.1859402656555176,
74,,149,1.1858211755752563,,
75,,151,1.1991398334503174,,
76,,153,1.230993390083313,,
77,,155,1.242037296295166,,
78,,157,1.157278299331665,,
79,,159,1.1830273866653442,,
80,,161,1.1375772953033447,,
81,,163,1.1735211610794067,,
82,,165,1.1876118183135986,,
83,,167,1.188307762145996,,
84,,169,1.1989707946777344,,
85,,171,1.2057362794876099,,
86,,173,1.1371352672576904,,
87,,175,1.164323329925537,,
88,,177,1.1982614994049072,,
